,segment,H,L
0,1256665088,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/H-H1_GWOSC_O3b_4KHZ_R1-1256665088-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/L-L1_GWOSC_O3b_4KHZ_R1-1256665088-4096.hdf5
1,1256689664,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/H-H1_GWOSC_O3b_4KHZ_R1-1256689664-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/L-L1_GWOSC_O3b_4KHZ_R1-1256689664-4096.hdf5
2,1256693760,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/H-H1_GWOSC_O3b_4KHZ_R1-1256693760-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/L-L1_GWOSC_O3b_4KHZ_R1-1256693760-4096.hdf5
3,1256697856,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/H-H1_GWOSC_O3b_4KHZ_R1-1256697856-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/L-L1_GWOSC_O3b_4KHZ_R1-1256697856-4096.hdf5
4,1256714240,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/H-H1_GWOSC_O3b_4KHZ_R1-1256714240-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/L-L1_GWOSC_O3b_4KHZ_R1-1256714240-4096.hdf5
5,1256718336,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/H-H1_GWOSC_O3b_4KHZ_R1-1256718336-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/L-L1_GWOSC_O3b_4KHZ_R1-1256718336-4096.hdf5
6,1256722432,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/H-H1_GWOSC_O3b_4KHZ_R1-1256722432-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/L-L1_GWOSC_O3b_4KHZ_R1-1256722432-4096.hdf5
7,1256726528,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/H-H1_GWOSC_O3b_4KHZ_R1-1256726528-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/L-L1_GWOSC_O3b_4KHZ_R1-1256726528-4096.hdf5
8,1256730624,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/H-H1_GWOSC_O3b_4KHZ_R1-1256730624-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/L-L1_GWOSC_O3b_4KHZ_R1-1256730624-4096.hdf5
9,1256734720,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/H-H1_GWOSC_O3b_4KHZ_R1-1256734720-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/L-L1_GWOSC_O3b_4KHZ_R1-1256734720-4096.hdf5
10,1256738816,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/H-H1_GWOSC_O3b_4KHZ_R1-1256738816-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/L-L1_GWOSC_O3b_4KHZ_R1-1256738816-4096.hdf5
11,1256775680,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/H-H1_GWOSC_O3b_4KHZ_R1-1256775680-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/L-L1_GWOSC_O3b_4KHZ_R1-1256775680-4096.hdf5
12,1256779776,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/H-H1_GWOSC_O3b_4KHZ_R1-1256779776-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1256194048/L-L1_GWOSC_O3b_4KHZ_R1-1256779776-4096.hdf5
