,Qi,ri,M,keep
0,-8.0,1.0,1,True
1,-8.0,2.0,1,True
2,-8.0,3.0,1,True
3,-8.0,4.0,1,True
4,-8.0,5.0,1,True
5,-8.0,6.0,1,True
6,-7.5,1.0,1,True
7,-7.5,2.0,1,True
8,-7.5,3.0,1,True
9,-7.5,4.0,1,True
10,-7.5,5.0,1,True
11,-7.5,6.0,1,True
12,-7.0,1.0,1,True
13,-7.0,2.0,1,True
14,-7.0,3.0,1,True
15,-7.0,4.0,1,True
16,-7.0,5.0,1,True
17,-7.0,6.0,1,True
18,-6.5,1.0,1,True
19,-6.5,2.0,1,True
20,-6.5,3.0,1,True
21,-6.5,4.0,1,True
22,-6.5,5.0,1,True
23,-6.5,6.0,1,True
24,-6.0,1.0,1,True
25,-6.0,2.0,1,True
26,-6.0,3.0,1,True
27,-6.0,4.0,1,True
28,-6.0,5.0,1,True
29,-6.0,6.0,1,True
30,-5.5,1.0,1,True
31,-5.5,2.0,1,True
32,-5.5,3.0,1,True
33,-5.5,4.0,1,True
34,-5.5,5.0,1,True
35,-5.5,6.0,1,True
36,-5.0,1.0,1,True
37,-5.0,2.0,1,True
38,-5.0,3.0,1,True
39,-5.0,4.0,1,True
40,-5.0,5.0,1,True
41,-5.0,6.0,1,True
44,-8.0,3.0,10,True
45,-8.0,4.0,10,True
46,-8.0,5.0,10,True
47,-8.0,6.0,10,True
48,-7.5,1.0,10,True
49,-7.5,2.0,10,True
50,-7.5,3.0,10,True
51,-7.5,4.0,10,True
52,-7.5,5.0,10,True
53,-7.5,6.0,10,True
54,-7.0,1.0,10,True
55,-7.0,2.0,10,True
56,-7.0,3.0,10,True
57,-7.0,4.0,10,True
58,-7.0,5.0,10,True
59,-7.0,6.0,10,True
60,-6.5,1.0,10,True
61,-6.5,2.0,10,True
62,-6.5,3.0,10,True
63,-6.5,4.0,10,True
64,-6.5,5.0,10,True
65,-6.5,6.0,10,True
66,-6.0,1.0,10,True
67,-6.0,2.0,10,True
68,-6.0,3.0,10,True
69,-6.0,4.0,10,True
70,-6.0,5.0,10,True
71,-6.0,6.0,10,True
72,-5.5,1.0,10,True
73,-5.5,2.0,10,True
74,-5.5,3.0,10,True
75,-5.5,4.0,10,True
76,-5.5,5.0,10,True
77,-5.5,6.0,10,True
78,-5.0,1.0,10,True
79,-5.0,2.0,10,True
80,-5.0,3.0,10,True
81,-5.0,4.0,10,True
82,-5.0,5.0,10,True
83,-5.0,6.0,10,True
89,-8.0,6.0,25,True
91,-7.5,2.0,25,True
92,-7.5,3.0,25,True
93,-7.5,4.0,25,True
94,-7.5,5.0,25,True
95,-7.5,6.0,25,True
96,-7.0,1.0,25,True
97,-7.0,2.0,25,True
98,-7.0,3.0,25,True
99,-7.0,4.0,25,True
100,-7.0,5.0,25,True
101,-7.0,6.0,25,True
102,-6.5,1.0,25,True
103,-6.5,2.0,25,True
104,-6.5,3.0,25,True
105,-6.5,4.0,25,True
106,-6.5,5.0,25,True
107,-6.5,6.0,25,True
108,-6.0,1.0,25,True
109,-6.0,2.0,25,True
110,-6.0,3.0,25,True
111,-6.0,4.0,25,True
112,-6.0,5.0,25,True
113,-6.0,6.0,25,True
114,-5.5,1.0,25,True
115,-5.5,2.0,25,True
116,-5.5,3.0,25,True
117,-5.5,4.0,25,True
118,-5.5,5.0,25,True
119,-5.5,6.0,25,True
120,-5.0,1.0,25,True
121,-5.0,2.0,25,True
122,-5.0,3.0,25,True
123,-5.0,4.0,25,True
124,-5.0,5.0,25,True
125,-5.0,6.0,25,True
135,-7.5,4.0,50,True
136,-7.5,5.0,50,True
137,-7.5,6.0,50,True
139,-7.0,2.0,50,True
140,-7.0,3.0,50,True
141,-7.0,4.0,50,True
142,-7.0,5.0,50,True
143,-7.0,6.0,50,True
144,-6.5,1.0,50,True
145,-6.5,2.0,50,True
146,-6.5,3.0,50,True
147,-6.5,4.0,50,True
148,-6.5,5.0,50,True
149,-6.5,6.0,50,True
150,-6.0,1.0,50,True
151,-6.0,2.0,50,True
152,-6.0,3.0,50,True
153,-6.0,4.0,50,True
154,-6.0,5.0,50,True
155,-6.0,6.0,50,True
156,-5.5,1.0,50,True
157,-5.5,2.0,50,True
158,-5.5,3.0,50,True
159,-5.5,4.0,50,True
160,-5.5,5.0,50,True
161,-5.5,6.0,50,True
162,-5.0,1.0,50,True
163,-5.0,2.0,50,True
164,-5.0,3.0,50,True
165,-5.0,4.0,50,True
166,-5.0,5.0,50,True
167,-5.0,6.0,50,True
