Qi,ri,M,amps,dur,Dh
-8.0,1.0,1,2.4514290758525788e-14,1,37016428.58991966
-8.0,2.0,1,6.128571880991861e-15,1,8375371.690059844
-8.0,3.0,1,2.7238091258956e-15,1,1896139.0264164808
-8.0,4.0,1,1.5321421616128684e-15,2,174223.68752518768
-8.0,5.0,1,9.80570595288228e-16,3,3890.8205815585147
-8.0,6.0,1,6.809514728406132e-16,5,14.08589473848989
-7.5,1.0,1,2.45142810546476e-15,1,1382222.5747359912
-7.5,2.0,1,6.128562177273067e-16,5,4.1574401093469335
-7.5,3.0,1,2.7237994222382124e-16,17,0.12157002915022382
-7.5,4.0,1,1.5321324579954922e-16,40,0.012419175157642504
-7.5,5.0,1,9.805608917047816e-17,77,0.002172200566673282
-7.5,6.0,1,6.809417692901243e-17,132,0.0005212467163517074
-7.0,1.0,1,2.4514184016051603e-16,20,0.07876264983929367
-7.0,2.0,1,6.128465140829444e-17,155,0.00034150583386060955
-7.0,3.0,1,2.7237023873390763e-17,518,2.8481581784941773e-05
-6.5,1.0,1,2.4513213648698258e-17,606,2.4278361158448302e-05
-8.0,3.0,10,2.723810193298751e-12,1,3848852773.8656354
-8.0,4.0,10,1.5321432290133194e-12,1,2224439695.1884394
-8.0,5.0,10,9.805716626869585e-13,1,1475027452.3731892
-8.0,6.0,10,6.809525402380922e-13,1,1062487812.725226
-7.5,1.0,10,2.4514291728883175e-12,1,3476846103.1286774
-7.5,2.0,10,6.128572851349169e-13,1,965885780.1329664
-7.5,3.0,10,2.723810096252801e-13,1,356293867.72645557
-7.5,4.0,10,1.532143131969924e-13,1,146370772.9697637
-7.5,5.0,10,9.805715656450969e-14,1,41000689.15446754
-7.5,6.0,10,6.809524431972544e-14,2,6417761.193696347
-7.0,1.0,10,2.4514290758219454e-13,1,314995584.9929112
-7.0,2.0,10,6.12857188083867e-14,2,2908876.524601947
-7.0,3.0,10,2.723809125793465e-14,6,110.1955727068159
-7.0,4.0,10,1.5321421615362673e-14,13,11.505001874173498
-7.0,5.0,10,9.805705952269456e-15,25,2.015832537971792
-7.0,6.0,10,6.8095147278954355e-15,43,0.4760841043074595
-6.5,1.0,10,2.4514281051584132e-14,7,71.58391293453475
-6.5,2.0,10,6.128562175741128e-15,50,0.31911833240314247
-6.5,3.0,10,2.7237994212168707e-15,167,0.017443961772591138
-6.5,4.0,10,1.532132457229464e-15,393,0.00578407834231601
-6.5,5.0,10,9.80560891091946e-16,766,0.0033041102576362442
-6.0,1.0,10,2.4514183985416626e-15,195,0.013316549366248093
-8.0,6.0,25,1.0639883582735967e-11,1,15125196286.358225
-7.5,2.0,25,9.575895221759488e-12,1,13674148835.017817
-7.5,3.0,25,4.25595341691609e-12,1,6438552312.975985
-7.5,4.0,25,2.3939737852214328e-12,1,3820598833.247272
-7.5,5.0,25,1.5321432128372916e-12,1,2407687267.2830486
-7.5,6.0,25,1.0639883340114706e-12,1,1521373246.1614203
-7.0,1.0,25,3.83035807251416e-12,1,5855957501.39961
-7.0,2.0,25,9.57589497907441e-13,1,1320928852.6619587
-7.0,3.0,25,4.2559531742629226e-13,1,123633555.87435941
-7.0,4.0,25,2.3939735425842283e-13,3,2854562.4145916267
-7.0,5.0,25,1.5321429702096672e-13,4,7579.121251483489
-7.0,6.0,25,1.0639880913902373e-13,7,334.580204580954
-6.5,1.0,25,3.830357829733422e-13,1,97397284.83565871
-6.5,2.0,25,9.575892552223985e-14,8,194.57542758483348
-6.5,3.0,25,4.255950747731939e-14,27,7.590614202689991
-6.5,4.0,25,2.3939711162133643e-14,64,0.78741429754578
-6.5,5.0,25,1.5321405439352813e-14,124,0.17985110655251377
-6.5,6.0,25,1.0639856651805862e-14,213,0.0869274779228887
-6.0,1.0,25,3.830355401926749e-14,32,4.818052331913811
-6.0,2.0,25,9.575868283749359e-15,250,0.07363728308275551
-6.0,3.0,25,4.255926482489022e-15,839,0.026232565496770673
-5.5,1.0,25,3.830331123934295e-15,982,0.0227900122892671
-7.5,4.0,50,1.9151790443518973e-11,1,28109006423.93277
-7.5,5.0,50,1.2257145864441583e-11,1,18724034065.936203
-7.5,6.0,50,8.51190683383218e-12,1,13474739387.149979
-7.0,2.0,50,7.660716145028319e-12,1,12220163596.185156
-7.0,3.0,50,3.4047627011649365e-12,1,4881154711.393452
-7.0,4.0,50,1.9151789958148815e-12,1,2144499268.7217047
-7.0,5.0,50,1.2257145379109725e-12,1,235188603.08062062
-7.0,6.0,50,8.511906348525845e-13,2,21919734.219891924
-6.5,1.0,50,3.064286425598079e-12,1,4238615283.4667993
-6.5,2.0,50,7.660715659466844e-13,2,15426300.53566295
-6.5,3.0,50,3.404762215731027e-13,7,1057.7786335576945
-6.5,4.0,50,1.9151785104447965e-13,16,97.08662478113538
-6.5,5.0,50,1.225714052579206e-13,31,16.756927187420768
-6.5,6.0,50,8.511901495463878e-14,54,4.013101274074946
-6.0,1.0,50,3.064285939654274e-13,8,618.3522103598369
-6.0,2.0,50,7.6607108038535e-14,63,2.7484727680229146
-6.0,3.0,50,3.4047573613952645e-14,211,0.40135388253027965
-6.0,4.0,50,1.9151736567498718e-14,499,0.19929070368544938
-6.0,5.0,50,1.2257091992708318e-14,972,0.10788032639268977
-5.5,1.0,50,3.0642810802199383e-14,247,0.36336280315767655
